Clientes;Contato;Status;Atendido por;Data
ASTRO 34 COMERCIO E SERVICOS LTDA,LILATUR VIAGENS EXCLUSIVAS LTDA,FASTCO SERVICOS EMPRESARIAIS LTDA,SPECTRAL VISION COMERCIO E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL ADVANCED ENGENHARIA E TECNOLOGIA LTDA.,DMA ADMINISTRACAO DE BENS LTDA,FUTURO RH SERVICOS EMPRESARIAIS LTDA;	ASTRO 34;Concluído;Anderson Silva;2026-02-02T15:22:45.240Z
ASTRO 34 COMERCIO E SERVICOS LTDA,LILATUR VIAGENS EXCLUSIVAS LTDA,FASTCO SERVICOS EMPRESARIAIS LTDA,SPECTRAL VISION COMERCIO E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL ADVANCED ENGENHARIA E TECNOLOGIA LTDA.,DMA ADMINISTRACAO DE BENS LTDA,FUTURO RH SERVICOS EMPRESARIAIS LTDA;	ASTRO 34;Concluído;Anderson Silva;2026-02-02T16:20:46.436Z
ASTRO 34 COMERCIO E SERVICOS LTDA,LILATUR VIAGENS EXCLUSIVAS LTDA,FASTCO SERVICOS EMPRESARIAIS LTDA,SPECTRAL VISION COMERCIO E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL ADVANCED ENGENHARIA E TECNOLOGIA LTDA.,DMA ADMINISTRACAO DE BENS LTDA,FUTURO RH SERVICOS EMPRESARIAIS LTDA;	ASTRO 34;Concluído;Anderson Silva;2026-02-02T18:41:45.989Z
ASTRO 34 COMERCIO E SERVICOS LTDA,LILATUR VIAGENS EXCLUSIVAS LTDA,FASTCO SERVICOS EMPRESARIAIS LTDA,SPECTRAL VISION COMERCIO E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL SOLUTIONS COMERCIO E SERVICOS LTDA,SPECTRAL ADVANCED ENGENHARIA E TECNOLOGIA LTDA.,DMA ADMINISTRACAO DE BENS LTDA,FUTURO RH SERVICOS EMPRESARIAIS LTDA;	ASTRO 34;Concluído;Anderson Silva;2026-02-02T19:36:29.263Z
MENTES MILIONARIAS LTDA;	Amanda - Mentes MIlionarias;Concluído;Rafael Lopes Cardoso;2026-02-05T13:39:50.585Z
;	Ana (Business - Dona);Concluído;CIBELLE ROSA;2026-02-04T18:06:21.956Z
;	Ana (Business - Dona);Concluído;CIBELLE ROSA;2026-02-04T17:53:31.120Z
;	Ana (Business - Dona);Concluído;CIBELLE ROSA;2026-02-04T16:54:43.831Z
;	Ana Ingrid - SAFETYMED ;Concluído;Rafael Lopes Cardoso;2026-02-02T13:46:16.459Z
;	Ana Ingrid - SAFETYMED ;Concluído;Anderson Silva;2026-02-02T12:47:35.600Z
